Brand,Gender,Klasman,SubCategory,Line,Season,ListPrice,DiscountRate,Stock_Level,TVALL_Sales_Qty,Channel,Margin,Sell_Through
Kinetix,Erkek,Alt Giyim,Eşofman,Basic,FW22,829.6318181818183,0.1990909090909091,46.0,2532,0,0.2737171842714952,0.844344369504865
Kinetix,Erkek,Alt Giyim,Eşofman,Basic,FW23,803.5699999999999,0.25857142857142856,48.285714285714285,1752,0,0.4131292051713591,0.7789619103159474
Kinetix,Erkek,Alt Giyim,Eşofman,Basic,FW24,916.6566666666666,0.1788888888888889,53.111111111111114,2099,0,0.32240709270537765,0.6697893071686434
Kinetix,Erkek,Alt Giyim,Eşofman,Basic,FW25,837.0830769230769,0.2569230769230769,50.53846153846154,3330,0,0.45,0.8099474073398247
Kinetix,Erkek,Alt Giyim,Eşofman,Line,FW22,994.7745,0.18,58.75,1179,0,0.3217876200671306,0.8218369275866755
Kinetix,Erkek,Alt Giyim,Eşofman,Line,FW23,1003.8785454545454,0.24636363636363637,52.81818181818182,1793,0,0.3592275651598518,0.820214737748085
Kinetix,Erkek,Alt Giyim,Eşofman,Line,FW24,956.862857142857,0.21714285714285714,49.57142857142857,1152,0,0.4271054976283938,0.8617891095911078
Kinetix,Erkek,Alt Giyim,Eşofman,Line,FW25,1027.1297142857143,0.2557142857142857,47.57142857142857,2400,0,0.45,0.7464473160175475
Kinetix,Erkek,Alt Giyim,Tayt,Basic,FW22,765.4255555555555,0.24777777777777776,52.666666666666664,2937,0,0.45,0.8340108052725225
Kinetix,Erkek,Alt Giyim,Tayt,Basic,FW23,868.1955555555555,0.27888888888888885,51.333333333333336,2954,0,0.41041831152965713,0.8596253756238987
Kinetix,Erkek,Alt Giyim,Tayt,Basic,FW24,826.75625,0.209375,50.9375,4732,0,0.4012031262905731,0.7110706207996742
Kinetix,Erkek,Alt Giyim,Tayt,Basic,FW25,799.2950000000001,0.14,41.833333333333336,1595,0,0.37962634746005913,0.8159825912959489
Kinetix,Erkek,Alt Giyim,Tayt,Line,FW22,1007.2271999999999,0.225,52.9,1989,0,0.3889180538083319,0.7747910084496165
